Item,Points,Considerations
Tuna,6,Average Price May 2025
Perch,11,Average Price May 2025
Iron Ore,8,Average Price May 2025
Turtle,33,Average Price May 2025
Steel Bar,21,Average Price May 2025
Maple Log,12,Average Price May 2025
Birch Log,8,Average Price May 2025
Herring,16,Average Price May 2025
Tin Ore,5,Average Price May 2025
Stingray,39,Average Price May 2025
Sardines,17,Average Price May 2025
Yew Log,5,Average Price May 2025
Banyan Log,10,Average Price May 2025
Spruce Log,7,Average Price May 2025
Lead Ore,8,Average Price May 2025
Mercury Ore,12,Average Price May 2025
Steel Ore,10,Average Price May 2025
Salmon,8,Average Price May 2025
Coal Ore,6,Average Price May 2025
Crab,27,Average Price May 2025
Cod,6,Average Price May 2025
Chromite Ore,14,Average Price May 2025
Oak Log,5,Average Price May 2025
Iron Bar,21,Average Price May 2025
Copper Ore,6,Average Price May 2025
Lobster,21,Average Price May 2025
Chromite Bar,32,Average Price May 2025
Goblin Pouch,60,Average Price May 2025
Siren's Scales,19,Average Price May 2025
Swamp Juice,206,Average Price May 2025
Uranium Bar,44,Average Price May 2025
Tin Bar,9,Average Price May 2025
Forbidden Tome,78,Average Price May 2025
Bone Fragment,48,Average Price May 2025
Golem Core Fragment,20,Average Price May 2025
Raccoon Fur,75,Average Price May 2025
Willow Log,16,Average Price May 2025
Copper Bar,12,Average Price May 2025
Ruined Robes,56,Average Price May 2025
Chest of Scraps,230,Average Price May 2025
Mahogany Log,17,Average Price May 2025
Trout,13,Average Price May 2025
Abyssal Scroll,3680,Average Price May 2025
Stoneheart Core,120,Average Price May 2025
Uranium Ore,18,Average Price May 2025
Cursed Talisman,78,Average Price May 2025
Mystical Log,24,Average Price May 2025
Raw Onion,65,Average Price May 2025
Djinn's Bottle,115,Average Price May 2025
Snakes Head,200,Average Price May 2025
Slime Extract,29,Average Price May 2025
Parchment,750,Average Price May 2025
Mystic Ore,23,Average Price May 2025
Black Bear Pelt,34,Average Price May 2025
Mercury Bar,25,Average Price May 2025
Ducks Mouth,85,Average Price May 2025
Lead Bar,18,Average Price May 2025
Lucky Rabbit Foot,115,Average Price May 2025
Goblin Scraps,190,Average Price May 2025
Mystic Bar,71,Average Price May 2025
Siren's Soulstone,230,Average Price May 2025
Great White Shark,54,Average Price May 2025
Goblin Crown,1850,Average Price May 2025
Long Forgotten Necklace,25,Average Price May 2025
Lantern Fish,52,Average Price May 2025
Oceanic Essence,115,Average Price May 2025
Enigmatic Stone,42,Average Price May 2025
Venom Extract,440,Average Price May 2025
Stringray,38,Average Price May 2025
Ivory,115,Average Price May 2025
Polar Bear Pelt,381,Average Price May 2025
Pirates Code,82,Average Price May 2025
Wolf Pelt,233,Average Price May 2025
Dwarven Whetstone,24,Average Price May 2025
Essence of Shadows,456,Average Price May 2025
Lions Teeth,290,Average Price May 2025
Boar Tusk,343,Average Price May 2025
Elk Antler,219,Average Price May 2025
Umbral Claw,149,Average Price May 2025
Vial of Spectre Ectoplasm,577,Average Price May 2025
Moose Antler,191,Average Price May 2025
Void Essence,168,Average Price May 2025
Buffalo Horn,62,Average Price May 2025
Goblin Totem,23,Average Price May 2025
Deer Antler,70,Average Price May 2025
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,Last update: 1/06/2025 21:57